repo_id,repo_name,full_name,language,stars,forks,created_at,updated_at
41881900,vscode,microsoft/vscode,TypeScript,188536,41502,2015-09-03T20:23:38Z,2026-08-09T20:22:42Z
20929025,TypeScript,microsoft/TypeScript,TypeScript,110108,13713,2014-06-17T15:28:39Z,2026-08-09T20:22:44Z
46918116,CNTK,microsoft/CNTK,C++,17595,4223,2015-11-26T09:52:06Z,2026-08-09T15:11:40Z
48009214,react-native-windows,microsoft/react-native-windows,C++,17321,1199,2015-12-15T00:16:54Z,2026-08-07T19:31:09Z
25659723,dotnet,microsoft/dotnet,HTML,15095,2242,2014-10-23T21:58:29Z,2026-08-09T09:49:38Z
41907649,language-server-protocol,microsoft/language-server-protocol,HTML,12973,989,2015-09-04T09:24:55Z,2026-08-08T15:55:07Z
45603512,vscode-extension-samples,microsoft/vscode-extension-samples,TypeScript,10136,3896,2015-11-05T10:14:11Z,2026-08-09T17:44:38Z
31791381,Windows-universal-samples,microsoft/Windows-universal-samples,JavaScript,9693,7770,2015-03-06T22:13:13Z,2026-08-08T08:48:59Z
36749153,react-native-code-push,microsoft/react-native-code-push,C,9129,1587,2015-06-02T17:19:20Z,2026-07-29T17:41:13Z
23202799,cpprestsdk,microsoft/cpprestsdk,C++,8262,1686,2014-08-21T20:57:45Z,2026-08-06T22:02:27Z
31791482,Windows-driver-samples,microsoft/Windows-driver-samples,C,7812,5033,2015-03-06T22:16:09Z,2026-08-08T09:33:02Z
36831874,DirectX-Graphics-Samples,microsoft/DirectX-Graphics-Samples,C++,6809,2175,2015-06-03T21:34:47Z,2026-08-09T17:26:51Z
41005795,GSL,microsoft/GSL,C++,6703,769,2015-08-19T01:11:19Z,2026-08-09T06:16:03Z
41443539,vscode-docs,microsoft/vscode-docs,Markdown,6591,5711,2015-08-26T18:45:33Z,2026-08-09T19:32:35Z
37950166,WinObjC,microsoft/WinObjC,C,6231,800,2015-06-23T23:14:58Z,2026-08-04T04:10:45Z
50605426,MixedRealityToolkit-Unity,microsoft/MixedRealityToolkit-Unity,C#,6075,2087,2016-01-28T18:54:58Z,2026-08-04T02:28:52Z
44264925,vscode-go,microsoft/vscode-go,TypeScript,5892,642,2015-10-14T17:34:10Z,2026-07-31T15:03:37Z
34023916,WPF-Samples,microsoft/WPF-Samples,C#,5722,3276,2015-04-15T23:35:11Z,2026-08-08T07:53:35Z
42122336,Windows-classic-samples,microsoft/Windows-classic-samples,,5652,3297,2015-09-08T15:45:22Z,2026-08-09T00:50:06Z
33742985,TypeScript-Handbook,microsoft/TypeScript-Handbook,JavaScript,4851,1106,2015-04-10T18:03:58Z,2026-08-06T02:01:02Z
33010673,perfview,microsoft/perfview,C#,4731,774,2015-03-27T21:48:45Z,2026-08-08T03:47:46Z
43459513,code-push,microsoft/code-push,TypeScript,4412,531,2015-09-30T21:12:55Z,2026-08-01T20:49:07Z
42753362,VisualStudioUninstaller,microsoft/VisualStudioUninstaller,C#,3964,577,2015-09-19T00:36:01Z,2026-07-25T10:30:59Z
27631673,azure-pipelines-tasks,microsoft/azure-pipelines-tasks,TypeScript,3647,2687,2014-12-06T11:11:46Z,2026-08-07T18:52:37Z
26521129,referencesource,microsoft/referencesource,C#,3442,1301,2014-11-12T05:41:28Z,2026-08-07T04:24:37Z
32035790,reflect-metadata,microsoft/reflect-metadata,TypeScript,3358,190,2015-03-11T19:03:37Z,2026-08-07T05:03:32Z
21831014,TypeScriptSamples,microsoft/TypeScriptSamples,TypeScript,3183,1734,2014-07-14T18:40:34Z,2026-08-08T08:50:09Z
11571442,plcrashreporter,microsoft/plcrashreporter,Objective-C,3062,561,2013-07-22T02:38:00Z,2026-08-05T19:14:00Z
42456996,Git-Credential-Manager-for-Windows,microsoft/Git-Credential-Manager-for-Windows,C#,2940,634,2015-09-14T15:22:26Z,2026-08-06T07:53:18Z
33688704,DirectXTK,microsoft/DirectXTK,C++,2842,537,2015-04-09T19:38:28Z,2026-08-07T23:50:13Z
50060429,vscode-react-native,microsoft/vscode-react-native,TypeScript,2737,290,2016-01-20T21:10:07Z,2026-08-07T02:05:17Z
45765537,DMTK,microsoft/DMTK,,2736,554,2015-11-08T03:32:50Z,2026-08-07T14:39:51Z
28014525,bond,microsoft/bond,C++,2623,331,2014-12-15T01:05:31Z,2026-07-29T21:26:04Z
20723540,microsoft.github.io,microsoft/microsoft.github.io,HTML,2601,484,2014-06-11T12:01:31Z,2026-08-04T15:32:21Z
32487763,PTVS,microsoft/PTVS,C#,2567,680,2015-03-18T22:30:53Z,2026-08-06T17:00:55Z
45360221,nodejs-guidelines,microsoft/nodejs-guidelines,,2498,278,2015-11-01T22:28:55Z,2026-08-07T20:55:17Z
50304279,pxt,microsoft/pxt,TypeScript,2297,640,2016-01-24T19:35:52Z,2026-08-08T18:13:42Z
45425758,vscode-chrome-debug,microsoft/vscode-chrome-debug,TypeScript,2201,361,2015-11-02T22:17:23Z,2026-07-28T19:39:08Z
29839722,Microsoft.IO.RecyclableMemoryStream,microsoft/Microsoft.IO.RecyclableMemoryStream,C#,2140,213,2015-01-26T01:29:12Z,2026-08-09T06:54:25Z
33688642,DirectXTex,microsoft/DirectXTex,C++,2135,491,2015-04-09T19:37:02Z,2026-08-09T17:26:51Z
35298250,maker.js,microsoft/maker.js,TypeScript,2020,298,2015-05-08T19:39:23Z,2026-08-09T03:10:00Z
45036984,vscode-eslint,microsoft/vscode-eslint,TypeScript,1943,380,2015-10-27T11:38:38Z,2026-08-09T17:44:29Z
45216651,microsoft-pdb,microsoft/microsoft-pdb,C++,1932,282,2015-10-29T23:24:32Z,2026-08-01T06:37:50Z
21972471,Win2D,microsoft/Win2D,C++,1896,305,2014-07-18T07:54:58Z,2026-08-09T17:26:50Z
19043988,msphpsql,microsoft/msphpsql,PHP,1883,385,2014-04-22T19:54:12Z,2026-08-09T12:10:19Z
33017149,nodejstools,microsoft/nodejstools,C#,1796,354,2015-03-28T01:37:20Z,2026-08-02T06:09:14Z
41861768,vscode-languageserver-node,microsoft/vscode-languageserver-node,TypeScript,1777,397,2015-09-03T13:39:52Z,2026-08-08T03:40:37Z
28059353,TypeScript-Sublime-Plugin,microsoft/TypeScript-Sublime-Plugin,JavaScript,1702,234,2014-12-15T22:30:20Z,2026-07-28T19:38:43Z
43156818,vscode-generator-code,microsoft/vscode-generator-code,JavaScript,1620,262,2015-09-25T15:45:49Z,2026-08-09T17:26:51Z
42616661,Pyjion,microsoft/Pyjion,C++,1593,133,2015-09-16T22:26:12Z,2026-07-29T21:19:57Z
31185775,automatic-graph-layout,microsoft/automatic-graph-layout,C#,1495,320,2015-02-22T23:21:05Z,2026-08-09T20:10:17Z
44393232,pict,microsoft/pict,C++,1464,323,2015-10-16T15:15:03Z,2026-08-09T15:12:21Z
23956428,diskspd,microsoft/diskspd,C++,1400,237,2014-09-12T10:27:46Z,2026-08-02T11:05:56Z
32757543,FFmpegInterop,microsoft/FFmpegInterop,C++,1366,318,2015-03-23T20:39:05Z,2026-07-30T21:05:31Z
30051348,TouchDevelop,microsoft/TouchDevelop,TypeScript,1359,189,2015-01-30T01:59:33Z,2026-07-27T11:32:07Z
34414315,tslib,microsoft/tslib,TypeScript,1343,146,2015-04-22T20:32:42Z,2026-08-08T08:40:17Z
31281081,Windows-Driver-Frameworks,microsoft/Windows-Driver-Frameworks,C,1320,369,2015-02-24T20:46:26Z,2026-08-09T17:38:42Z
44415469,vscode-docker,microsoft/vscode-docker,,1312,556,2015-10-16T23:14:09Z,2026-07-31T14:45:17Z
37945556,VSSDK-Extensibility-Samples,microsoft/VSSDK-Extensibility-Samples,C#,1271,458,2015-06-23T21:16:44Z,2026-07-27T02:50:44Z
